Company,Ticker,Sector,Index,fr_id,fr_name,fr_ticker
Pantheon Infrastructure,PINT,Investment Trusts,FTSE 250,5088,PANTHEON INFRASTRUCTURE PLC,
Pantheon International,PIN,Equity Investments,FTSE 250,5272,Pantheon International PLC,
Paragon Banking Group,PAG,Financial Services,FTSE 250,4701,Paragon Banking Group PLC,
Pennon Group,PNN,Gas Water & Multiutilities,FTSE 250,4705,Pennon Group PLC,
Personal Assets Trust,PNL,Investment Trusts,FTSE 250,4676,Personal Assets Trust PLC,
Pets at Home,PETS,Retailers,FTSE 250,4909,Pets at Home Group PLC,
Pollen Street Group,POLN,Financial Services,FTSE 250,4942,POLLEN STREET PLC,
Premier Foods,PFD,Food & Drug Retailers,FTSE 250,5302,Premier Foods PLC,
Primary Health Properties,PHP,Real Estate Investment Trusts,FTSE 250,4780,Primary Health Properties PLC,
Qinetiq,QQ,Aerospace & Defence,FTSE 250,4849,QinetiQ Group PLC,
Quilter,QLT,Financial Services,FTSE 250,4999,Quilter PLC,
Rank Group,RNK,Travel and Leisure,FTSE 250,4760,RANK GROUP PLC,
Raspberry Pi Holdings,RPI,Technology,FTSE 250,9369,RASPBERRY PI HOLDINGS PLC,
Rathbones,RAT,Financial Services,FTSE 250,4713,Rathbones Group PLC,
Renishaw,RSW,Electronic & Electrical Equipment,FTSE 250,5268,Renishaw PLC,
RIT Capital Partners,RCP,Investment Trusts,FTSE 250,4696,RIT Capital Partners PLC,
Rotork,ROR,Industrial Engineering,FTSE 250,4645,Rotork PLC,
RS Group,RS1,Industrials,FTSE 250,5258,RS Group PLC,
Safestore,SAFE,Real Estate Investment Trusts,FTSE 250,5310,Safestore Holdings PLC,
Saga,SAGA,Financial Services,FTSE 250,4914,SAGA PLC,
Savills,SVS,Real Estate Investment & Services,FTSE 250,4850,Savills PLC,
Schroder Oriental Income Fund,SOI,Financial Services,FTSE 250,5238,Schroder Oriental Income Fund,
Scottish American Investment Company,SAIN,Investment Trusts,FTSE 250,5201,Scottish American Investment Company PLC,
SDCL Energy Efficiency Income Trust,SEIT,Energy,FTSE 250,5204,SDCL Energy Efficiency Income Trust,
Senior,SNR,Aerospace & Defence,FTSE 250,4599,Senior PLC,
Serco,SRP,Support Services,FTSE 250,5273,Serco Group PLC,
Shaftesbury Capital,SHC,Real Estate Investment Trusts,FTSE 250,5317,Shaftesbury Capital Plc (formerly: Capital & Counties Properties Plc),
Softcat,SCT,Software & Computer Services,FTSE 250,5331,Softcat PLC,
Spire Healthcare,SPI,Health Care Equipment & Services,FTSE 250,5328,Spire Healthcare Group PLC,
SSP Group,SSPG,Retailers,FTSE 250,4918,SSP Group PLC,
