id,lei,name,ticker,country_code,market_segment,stock_indices,listed_exchanges,date_ipo,is_listed
5277,213800QC8AWD4BO8TH08,Hays PLC,HAS,GB,FTSE 350,FTSE 250,London Stock Exchange,1989-10-26,True
5030,213800DGC7GS4XCHCU30,Helios Towers PLC,HTWS,GB,FTSE 350,FTSE 250,London Stock Exchange,2019-10-15,True
5159,213800NE2NCQ67M2M998,Henderson Smaller Companies Investment Trust PLC,HSL,GB,FTSE 350,FTSE 250,London Stock Exchange,1887-12-16,True
5160,213800U7G1ROCTJYRR70,Herald Investment Trust PLC,HRI,GB,FTSE 350,FTSE 250,London Stock Exchange,1994-01-31,True
4707,213800J7QUJJBEFSIN38,HgCapital Trust PLC,HGT,GB,FTSE 350,FTSE 250,London Stock Exchange,1989-12-13,True
5019,213800BVXR1E5L7PEV94,HICL Infrastructure PLC,HICL,GB,FTSE 350,FTSE 250,London Stock Exchange,2019-04-01,True
4841,549300BNS685UXH4JI75,HIKMA Pharmaceuticals PLC,HIK,GB,FTSE 350,FTSE 250|STOXX Europe 600,London Stock Exchange,2005-11-04,True
4647,2138003A3ISGQZBOWI83,Hill & Smith PLC,HILS,GB,FTSE 350,FTSE 250,London Stock Exchange,1969-03-26,True
4867,213800JY7VJFS2OOX355,Hilton Food Group PLC,HFG,GB,FTSE 350,FTSE 250,London Stock Exchange,2007-05-17,True
4653,213800KC1LJOJTY3JP45,Howden Joinery Group PLC,HWDN,GB,FTSE 350,FTSE 250|STOXX Europe 600,London Stock Exchange,1972-04-01,True
5161,MLU0ZO3ML4LN2LL2TL39,HSBC Holdings PLC,HSBA,GB,FTSE 350,FTSE 100|STOXX Europe 600,Hong Kong Stock Exchange|London Stock Exchange,1999-07-23,True
5330,2138003QHTNX34CN9V93,Ibstock PLC,IBST,GB,FTSE 350,FTSE 250,London Stock Exchange,2015-10-22,True
4671,213800T2SY83WIJOJH13,ICG Enterprise Trust PLC,ICGT,GB,FTSE 350,FTSE 250,London Stock Exchange,1981-07-22,True
4837,2138003A5Q1M7ANOUD76,IG Group Holdings PLC,IGG,GB,FTSE 350,FTSE 250|STOXX Europe 600,London Stock Exchange,2005-05-04,True
4817,213800RAR6ZDJLZDND86,Impax Environmental Markets PLC,IEM,GB,FTSE 350,FTSE 250,London Stock Exchange,2002-02-22,True
4759,549300DFVPOB67JL3A42,Imperial Brands PLC,IMB,GB,FTSE 350,FTSE 100|STOXX Europe 600,London Stock Exchange,1996-10-01,True
4630,213800RGEH1MPPNM2T57,Inchcape PLC,IJCA,GB,FTSE 350,FTSE 250|STOXX Europe 600,London Stock Exchange,1958-10-31,True
4923,213800V3NCQTY7IED471,Indivior PLC,INDV,GB,FTSE 350,FTSE 250,London Stock Exchange,2014-12-23,True
4915,5493006VM2LKUPSEDU20,Informa PLC,INF,GB,FTSE 350,FTSE 100|STOXX Europe 600,London Stock Exchange,2014-05-30,True
4994,213800CYIZKXK9PQYE87,IntegraFin Holdings PLC,IHP,GB,FTSE 350,FTSE 250,London Stock Exchange,2018-02-27,True
5306,2138007ZFQYRUSLU3J98,Intercontinental Hotels Group PLC,IHG,GB,FTSE 350,FTSE 100|STOXX Europe 600,London Stock Exchange,2005-06-27,True
4730,549300OGASR5WRKJ8R68,Intermediate Capital Group PLC,ICP,GB,FTSE 350,FTSE 250|STOXX Europe 600,London Stock Exchange,1994-06-01,True
5164,213800TCZZU84G8Z2M70,International Distributions Service,IDS,GB,FTSE 350,FTSE 250,London Stock Exchange,2013-10-01,True
4819,2138003GAT25WW1RN369,Intertek Group PLC,ITRK,GB,FTSE 350,FTSE 100|STOXX Europe 600,London Stock Exchange,2002-05-29,True
4852,213800HG22UM138WFG43,IP Group PLC,IPO,GB,FTSE 350,FTSE 250,London Stock Exchange,2006-06-19,True
5355,21380057TNFLXPXBIP34,Ithaca Energy PLC,ITH,GB,FTSE 350,FTSE 250,London Stock Exchange,2022-11-09,True
5300,ZLECI7ED2QMWFGYCXZ59,ITV PLC,ITV,GB,FTSE 350,FTSE 250|STOXX Europe 600,London Stock Exchange,2004-02-02,True
5291,213800HROV6Y9MUU8375,JD Sports Fashion PLC,JD,GB,FTSE 350,FTSE 100|STOXX Europe 600,London Stock Exchange,1996-10-22,True
5214,213800CHWARFAAN7UB85,J.D. Wetherspoon PLC,JDW,GB,FTSE 350,FTSE 250,London Stock Exchange,2000-01-01,True
4899,2138001AVBSD1HSC6Z10,Johnson Matthey PLC,JMAT,GB,FTSE 350,FTSE 100|STOXX Europe 600,London Stock Exchange,2012-08-06,True
4820,549300PLYY6I10B6S323,John Wood Group PLC,WG,GB,FTSE 350,FTSE 250,London Stock Exchange,2002-06-05,True
5167,549300QNAI4XRPEB4G65,JPMorgan American Investment Trust PLC,JAM,GB,FTSE 350,FTSE 250,London Stock Exchange,2000-01-01,True
5169,5493001VPQDYH1SSSR77,JPMorgan Emerging Markets Investment Trust PLC,JMG,GB,FTSE 350,FTSE 250,London Stock Exchange,2020-11-06,True
5170,54930049CEWDI46Y3U28,JPMorgan Euro Discovery Trust PLC,JEDT,GB,FTSE 350,FTSE 250,London Stock Exchange,2014-07-23,True
5173,5493007C3I0O5PJKR078,JPMorgan Global Growth & Income PLC,JGGI,GB,FTSE 350,FTSE 250,London Stock Exchange,2016-01-08,True
5174,549300OHW8R1C2WBYK02,JPMorgan Indian Investment Trust PLC,3J8,GB,FTSE 350,FTSE 250,London Stock Exchange,2005-07-08,True
5176,549300JZW3TSSO464R15,JPMorgan Japanese Investment Trust PLC,JFJ,GB,FTSE 350,FTSE 250,London Stock Exchange,2004-01-13,True
4884,5493003DJ1G01IMQ7S28,Jupiter Fund Management PLC,JUP,GB,FTSE 350,FTSE 250,London Stock Exchange,2010-06-21,True
